Company_ID,Company_Name,Industry,Annual_Revenue_M,Website_Visits_30d,Whitepaper_Downloads,Credit_Score_Proxy,Conversion_Probability
NEW_1043,Prospect_42,Healthcare,87.58,39,3,726,0.9995592032649327
NEW_1090,Prospect_89,Healthcare,74.34,43,2,737,0.9992593866912524
NEW_1079,Prospect_78,Retail,98.29,37,2,711,0.999157034807891
NEW_1014,Prospect_13,Consulting,72.95,48,0,820,0.9989277640057761
NEW_1071,Prospect_70,Consulting,66.11,45,1,796,0.9987141529387386
NEW_1063,Prospect_62,Healthcare,49.0,40,3,809,0.9986518117078494
NEW_1091,Prospect_90,Consulting,25.24,46,3,811,0.9983825585233376
NEW_1065,Prospect_64,Tech,16.42,49,3,749,0.998104790188569
NEW_1016,Prospect_15,Tech,94.94,28,3,642,0.9975685592778338
NEW_1003,Prospect_2,Healthcare,56.25,42,2,629,0.9974769992928605
NEW_1006,Prospect_5,Healthcare,73.35,40,0,843,0.9972180450605856
NEW_1036,Prospect_35,Finance,65.27,32,3,733,0.9968106724595509
NEW_1022,Prospect_21,Retail,91.19,35,0,843,0.9967935219585035
NEW_1085,Prospect_84,Consulting,29.52,43,3,677,0.9967171930814143
NEW_1021,Prospect_20,Consulting,88.57,32,2,618,0.9966208090486544
NEW_1081,Prospect_80,Healthcare,93.22,36,0,691,0.9962805733580508
NEW_1049,Prospect_48,Finance,6.12,49,2,794,0.9956514587993527
NEW_1082,Prospect_81,Retail,44.48,37,3,652,0.9952072458946396
NEW_1008,Prospect_7,Healthcare,21.64,48,1,764,0.9950830507799994
NEW_1038,Prospect_37,Healthcare,26.15,39,3,730,0.9949686244114263
NEW_1076,Prospect_75,Consulting,49.57,48,0,630,0.9948736921206148
NEW_1024,Prospect_23,Healthcare,17.61,47,1,794,0.9939723965106686
NEW_1067,Prospect_66,Consulting,91.65,21,3,669,0.9932967774279733
NEW_1084,Prospect_83,Retail,32.57,47,0,724,0.9912573167764165
NEW_1092,Prospect_91,Retail,45.28,43,0,733,0.9909125172855549
NEW_1052,Prospect_51,Healthcare,24.2,33,3,832,0.9908537207128162
NEW_1061,Prospect_60,Tech,34.55,40,2,621,0.9906338247797449
NEW_1058,Prospect_57,Healthcare,85.05,33,0,632,0.9903828497198428
NEW_1096,Prospect_95,Healthcare,36.07,47,0,613,0.9903724306165466
NEW_1083,Prospect_82,Consulting,77.5,31,1,647,0.9899848640170982
NEW_1060,Prospect_59,Retail,11.57,43,2,730,0.9894761676412432
NEW_1018,Prospect_17,Healthcare,12.37,48,0,814,0.9890480360287327
NEW_1001,Prospect_0,Retail,40.04,29,3,788,0.9885695597553081
NEW_1088,Prospect_87,Consulting,52.34,41,0,645,0.9881077489269336
NEW_1032,Prospect_31,Consulting,40.85,36,2,610,0.987018846911138
NEW_1077,Prospect_76,Tech,54.27,35,1,629,0.9844908885681861
NEW_1066,Prospect_65,Retail,33.92,43,0,677,0.9828915769065371
NEW_1094,Prospect_93,Finance,25.22,43,0,741,0.9810396342496229
NEW_1087,Prospect_86,Tech,35.64,38,1,657,0.9807891566045176
NEW_1086,Prospect_85,Healthcare,7.93,42,1,768,0.9803756151180438
NEW_1028,Prospect_27,Finance,51.99,25,2,801,0.9787271586806175
NEW_1004,Prospect_3,Retail,27.33,40,0,783,0.9761001063840723
NEW_1025,Prospect_24,Finance,3.2,42,2,600,0.9748972123812191
NEW_1080,Prospect_79,Finance,92.31,11,2,812,0.9694506412133995
NEW_1046,Prospect_45,Consulting,26.68,38,0,779,0.968041130982141
NEW_1057,Prospect_56,Consulting,57.49,24,1,830,0.9676201626633364
NEW_1020,Prospect_19,Finance,28.83,30,2,720,0.9662372444227628
NEW_1095,Prospect_94,Tech,30.33,32,2,623,0.9659801418099094
NEW_1010,Prospect_9,Consulting,90.22,14,2,631,0.960883748978067
NEW_1078,Prospect_77,Consulting,58.96,15,3,779,0.96068228975782
NEW_1099,Prospect_98,Consulting,55.75,18,3,678,0.9594029552288295
NEW_1009,Prospect_8,Consulting,15.13,32,2,728,0.9577941477337162
NEW_1015,Prospect_14,Finance,44.9,22,2,799,0.9571633055224519
NEW_1027,Prospect_26,Retail,15.56,40,0,704,0.9514610118461628
NEW_1069,Prospect_68,Tech,1.96,33,2,806,0.9511691935099431
NEW_1040,Prospect_39,Consulting,63.09,11,3,816,0.9482381515475757
NEW_1033,Prospect_32,Retail,9.37,41,0,701,0.9459661003220624
NEW_1048,Prospect_47,Consulting,10.37,25,3,782,0.9374607071274822
NEW_1047,Prospect_46,Healthcare,39.62,23,1,798,0.9267556873622635
NEW_1093,Prospect_92,Tech,94.14,13,1,618,0.926526701035268
NEW_1002,Prospect_1,Tech,40.22,32,0,608,0.9229493237585821
NEW_1035,Prospect_34,Retail,45.77,14,3,736,0.9131436298404683
NEW_1013,Prospect_12,Retail,62.09,15,1,789,0.8926182616604964
NEW_1097,Prospect_96,Consulting,32.06,19,3,604,0.8922055502500646
NEW_1034,Prospect_33,Tech,63.56,14,1,812,0.8915025968733699
NEW_1029,Prospect_28,Finance,74.04,7,2,793,0.8897070905348222
NEW_1054,Prospect_53,Tech,1.55,24,3,727,0.8803137891961217
NEW_1039,Prospect_38,Tech,60.02,10,3,605,0.8703509157557473
NEW_1007,Prospect_6,Retail,41.65,17,1,820,0.8446915775471353
NEW_1075,Prospect_74,Healthcare,43.39,10,3,674,0.8330974396536793
NEW_1068,Prospect_67,Healthcare,51.15,11,2,705,0.8265619884599982
NEW_1031,Prospect_30,Healthcare,21.49,21,1,783,0.8138956808779187
NEW_1089,Prospect_88,Tech,45.81,14,1,825,0.8085940813909105
NEW_1053,Prospect_52,Finance,80.74,13,0,616,0.805440141886114
NEW_1070,Prospect_69,Retail,70.81,10,0,775,0.7492208133814674
NEW_1023,Prospect_22,Finance,57.79,7,2,669,0.7358242861829881
NEW_1051,Prospect_50,Healthcare,28.5,10,3,670,0.7310242418252325
NEW_1042,Prospect_41,Finance,17.92,19,1,785,0.7203325031245278
NEW_1011,Prospect_10,Tech,59.55,5,2,687,0.6973552183712078
NEW_1073,Prospect_72,Retail,62.65,12,0,619,0.6307515671650046
NEW_1044,Prospect_43,Tech,60.47,12,0,637,0.6237634524950086
NEW_1064,Prospect_63,Tech,26.52,21,0,617,0.5939896777924716
NEW_1030,Prospect_29,Finance,54.55,4,1,816,0.5866281959977512
NEW_1026,Prospect_25,Retail,32.89,2,3,783,0.5660200806450478
NEW_1017,Prospect_16,Tech,25.84,15,0,841,0.5590329778648153
NEW_1019,Prospect_18,Retail,30.38,10,2,639,0.5580685194315284
NEW_1012,Prospect_11,Consulting,22.4,17,0,762,0.5388907268017942
