Company_ID,Industry,Years_in_Business,Annual_Revenue_M,Website_Visits_30d,Whitepaper_Downloads,Credit_Score_Proxy,Prior_Amex_Relationship,Converted
1001,Healthcare,7,6.28,3,0,719,1,0
1002,Consulting,4,21.06,3,0,639,1,0
1003,Retail,24,9.74,2,1,664,0,0
1004,Consulting,20,5.57,3,0,705,0,0
1005,Consulting,7,15.47,6,0,700,1,1
1006,Manufacturing,4,43.09,11,0,704,0,1
1007,Retail,12,1.35,3,0,723,0,0
1008,Retail,5,14.99,3,0,668,0,0
1009,Retail,23,21.49,6,0,780,0,0
1010,Consulting,19,25.77,6,0,649,1,0
1011,Healthcare,5,9.49,7,1,706,0,1
1012,Retail,19,48.23,7,0,755,0,0
1013,Consulting,21,29.15,4,0,654,0,0
1014,Manufacturing,3,26.34,10,1,680,1,0
1015,Healthcare,11,0.94,6,0,692,0,0
1016,Manufacturing,7,24.54,12,1,684,1,1
1017,Healthcare,17,41.96,8,0,674,0,0
1018,Consulting,9,11.37,3,2,726,0,0
1019,Tech,21,17.88,3,0,701,0,0
1020,Healthcare,9,1.52,8,1,686,0,0
1021,Manufacturing,10,48.86,2,0,643,0,0
1022,Consulting,13,3.8,4,0,594,0,0
1023,Healthcare,15,44.96,4,2,757,0,1
1024,Tech,22,15.99,5,0,690,0,0
1025,Tech,5,29.58,6,0,642,0,0
1026,Retail,3,34.13,4,0,750,0,0
1027,Retail,8,7.47,7,0,585,1,0
1028,Manufacturing,20,22.47,7,0,837,0,1
1029,Healthcare,10,16.61,6,0,741,0,1
1030,Healthcare,13,3.3,3,0,626,0,1
1031,Retail,3,41.74,6,0,658,1,0
1032,Healthcare,22,2.74,4,0,713,0,0
1033,Healthcare,8,32.84,5,0,695,0,0
1034,Tech,9,16.05,4,1,744,0,0
1035,Retail,22,10.01,5,2,757,0,1
1036,Consulting,21,33.52,6,1,655,0,1
1037,Retail,12,28.94,3,2,689,0,1
1038,Consulting,11,16.11,5,0,696,0,0
1039,Tech,2,25.89,3,0,599,0,0
1040,Manufacturing,18,12.69,2,0,709,0,0
1041,Healthcare,9,43.25,5,0,605,0,0
1042,Tech,2,16.03,8,0,745,1,1
1043,Healthcare,2,12.64,4,1,661,1,0
1044,Manufacturing,3,37.72,4,1,692,0,0
1045,Manufacturing,16,1.37,6,0,689,1,0
1046,Tech,19,13.77,0,0,650,1,0
1047,Manufacturing,4,19.08,4,0,682,0,0
1048,Consulting,23,44.17,3,0,680,1,1
1049,Manufacturing,18,47.55,4,2,720,1,1
1050,Healthcare,20,35.97,4,0,586,0,0
1051,Healthcare,18,24.88,7,1,673,1,0
1052,Healthcare,10,32.21,6,1,844,0,0
1053,Healthcare,11,20.99,6,0,716,1,0
1054,Consulting,17,15.29,4,0,686,0,0
1055,Retail,24,47.56,5,1,716,1,0
1056,Tech,23,6.21,4,0,671,0,0
1057,Healthcare,24,17.65,10,0,770,1,1
1058,Manufacturing,20,45.0,5,0,725,1,0
1059,Healthcare,16,36.3,6,0,632,0,0
1060,Manufacturing,20,1.94,11,0,707,1,0
1061,Manufacturing,13,1.64,2,0,695,0,0
1062,Healthcare,2,26.07,2,0,749,0,0
1063,Consulting,24,24.47,3,1,632,1,0
1064,Manufacturing,2,22.43,6,0,680,0,0
1065,Manufacturing,14,15.47,6,0,661,0,0
1066,Healthcare,4,49.34,4,1,631,0,1
1067,Manufacturing,17,13.96,3,0,638,0,0
1068,Manufacturing,13,24.76,8,1,677,0,1
